Function,Class,Method,Group,Milestone,ClassMethod,
DataFrame.index,DataFrame,index,Attributes and underlying data,phase 1,DataFrame.index,
DataFrame.columns,DataFrame,columns,Attributes and underlying data,phase 1,DataFrame.columns,
DataFrame.dtypes,DataFrame,dtypes,Attributes and underlying data,,DataFrame.dtypes,
DataFrame.info,DataFrame,info,Attributes and underlying data,phase 2,DataFrame.info,
DataFrame.select_dtypes,DataFrame,select_dtypes,Attributes and underlying data,phase 2,DataFrame.select_dtypes,
DataFrame.values,DataFrame,values,Attributes and underlying data,phase 1,DataFrame.values,
DataFrame.axes,DataFrame,axes,Attributes and underlying data,,DataFrame.axes,
DataFrame.ndim,DataFrame,ndim,Attributes and underlying data,,DataFrame.ndim,
DataFrame.size,DataFrame,size,Attributes and underlying data,phase 1,DataFrame.size,
DataFrame.shape,DataFrame,shape,Attributes and underlying data,phase 1,DataFrame.shape,
DataFrame.memory_usage,DataFrame,memory_usage,Attributes and underlying data,,DataFrame.memory_usage,
DataFrame.empty,DataFrame,empty,Attributes and underlying data,phase 1,DataFrame.empty,
DataFrame.set_flags,DataFrame,set_flags,Attributes and underlying data,,DataFrame.set_flags,
DataFrame.astype,DataFrame,astype,Conversion,phase 1,DataFrame.astype,
DataFrame.convert_dtypes,DataFrame,convert_dtypes,Conversion,,DataFrame.convert_dtypes,
DataFrame.infer_objects,DataFrame,infer_objects,Conversion,,DataFrame.infer_objects,
DataFrame.copy,DataFrame,copy,Conversion,phase 1,DataFrame.copy,
DataFrame.bool,DataFrame,bool,Conversion,,DataFrame.bool,
DataFrame.head,DataFrame,head,"Indexing, iteration",phase 1,DataFrame.head,
DataFrame.at,DataFrame,at,"Indexing, iteration",,DataFrame.at,
DataFrame.iat,DataFrame,iat,"Indexing, iteration",,DataFrame.iat,
DataFrame.loc,DataFrame,loc,"Indexing, iteration",phase 1,DataFrame.loc,
DataFrame.iloc,DataFrame,iloc,"Indexing, iteration",phase 1,DataFrame.iloc,
DataFrame.insert,DataFrame,insert,"Indexing, iteration",phase 1,DataFrame.insert,
DataFrame.__iter__,DataFrame,__iter__,"Indexing, iteration",,DataFrame.__iter__,
DataFrame.items,DataFrame,items,"Indexing, iteration",on-hold,DataFrame.items,
DataFrame.keys,DataFrame,keys,"Indexing, iteration",on-hold,DataFrame.keys,
DataFrame.iterrows,DataFrame,iterrows,"Indexing, iteration",phase 2,DataFrame.iterrows,
DataFrame.itertuples,DataFrame,itertuples,"Indexing, iteration",phase 2,DataFrame.itertuples,
DataFrame.pop,DataFrame,pop,"Indexing, iteration",,DataFrame.pop,
DataFrame.tail,DataFrame,tail,"Indexing, iteration",phase 1,DataFrame.tail,
DataFrame.xs,DataFrame,xs,"Indexing, iteration",,DataFrame.xs,
DataFrame.get,DataFrame,get,"Indexing, iteration",on-hold,DataFrame.get,
DataFrame.isin,DataFrame,isin,"Indexing, iteration",phase 2,DataFrame.isin,
DataFrame.where,DataFrame,where,"Indexing, iteration",phase 1,DataFrame.where,
DataFrame.mask,DataFrame,mask,"Indexing, iteration",,DataFrame.mask,
DataFrame.query,DataFrame,query,"Indexing, iteration",,DataFrame.query,
DataFrame.__add__,DataFrame,__add__,Binary operator functions,,DataFrame.__add__,
DataFrame.add,DataFrame,add,Binary operator functions,phase 1,DataFrame.add,
DataFrame.sub,DataFrame,sub,Binary operator functions,phase 1,DataFrame.sub,
DataFrame.mul,DataFrame,mul,Binary operator functions,,DataFrame.mul,
DataFrame.div,DataFrame,div,Binary operator functions,,DataFrame.div,
